,angle,distance,time
1625,255.40625,0.187,2.5453145503997803
1626,256.484375,0.18675,2.5453150272369385
1627,257.5625,0.18325,2.5453155040740967
1628,258.890625,0.18475,2.545315980911255
1629,259.71875,0.1815,2.5453169345855713
1630,260.796875,0.18125,2.5453174114227295
1631,261.875,0.18275,2.5453178882598877
1632,263.21875,0.1815,2.545318365097046
1633,264.046875,0.181,2.545318841934204
1634,266.203125,0.17975,2.5453193187713623
1635,267.28125,0.1785,2.5453202724456787
1636,268.359375,0.1785,2.545320510864258
1637,269.453125,0.17775,2.545320987701416
1638,270.53125,0.177,2.5453217029571533
1639,271.609375,0.17675,2.5453221797943115
1640,272.6875,0.17625,2.5453226566314697
1641,273.765625,0.17625,2.545323133468628
1642,274.84375,0.176,2.5453238487243652
1643,275.921875,0.17575,2.5453245639801025
1644,277.0,0.1755,2.5453250408172607
1645,278.09375,0.17575,2.545325517654419
1646,279.15625,0.176,2.545325994491577
1647,280.25,0.17575,2.5453264713287354
1648,281.578125,0.176,2.5453271865844727
1649,282.234375,0.1765,2.54532790184021
1650,283.296875,0.1765,2.545328378677368
1651,284.375,0.17725,2.5453288555145264
1652,285.4375,0.1775,2.5453295707702637
1653,286.515625,0.17775,2.545330047607422
1654,287.59375,0.1785,2.545330762863159
1655,288.65625,0.17875,2.5453312397003174
1656,289.734375,0.18,2.5453317165374756
1657,290.8125,0.1805,2.545332431793213
1658,291.875,0.18125,2.545332908630371
1659,292.953125,0.182,2.5453333854675293
1660,294.015625,0.183,2.5453343391418457
1661,294.96875,0.184,2.545334815979004
1662,296.171875,0.182,2.545335054397583
1663,297.234375,0.18575,2.5453357696533203
1664,298.3125,0.18375,2.5453362464904785
1665,299.375,0.188,2.5453367233276367
1666,300.453125,0.1875,2.545337438583374
1667,301.515625,0.18875,2.5453379154205322
1668,302.59375,0.18875,2.5453383922576904
1669,303.65625,0.18925,2.5453388690948486
1670,307.015625,0.194,2.545339584350586
1671,310.234375,0.2015,2.545340061187744
1672,325.375,4.44225,2.5453405380249023
1673,326.453125,4.395,2.5453412532806396
1674,328.421875,1.172,2.545341730117798
1675,329.609375,1.1165,2.545342206954956
1676,337.296875,1.00125,2.5453426837921143
1677,338.265625,0.98775,2.5453431606292725
1678,339.421875,0.975,2.5453436374664307
1679,340.484375,0.96925,2.545344352722168
1680,341.65625,0.9575,2.545344829559326
1681,342.609375,0.9535,2.5453453063964844
1682,343.8125,0.94725,2.5453457832336426
1683,344.8125,0.93675,2.54534649848938
1684,345.984375,0.93175,2.545346975326538
1685,346.984375,0.92675,2.5453474521636963
1686,348.125,0.94225,2.5453479290008545
1687,349.0625,0.9935,2.5453484058380127
1688,350.03125,1.06275,2.545348882675171
1689,351.3125,0.9225,2.545349597930908
1690,5.21875,0.57625,2.692985773086548
1691,6.21875,0.5755,2.6929876804351807
1692,7.3125,0.5745,2.692988634109497
1693,8.390625,0.57375,2.6929893493652344
1694,9.515625,0.57325,2.692990779876709
1695,10.53125,0.573,2.6929917335510254
1696,11.515625,0.5745,2.6929922103881836
1697,12.734375,0.574,2.692993402481079
1698,13.640625,0.575,2.6929943561553955
1699,14.890625,0.576,2.692995548248291
1700,15.984375,0.57625,2.6929962635040283
1701,16.921875,0.5775,2.6929972171783447
1702,18.140625,0.57925,2.692998170852661
1703,19.203125,0.5815,2.6929988861083984
1704,20.125,0.582,2.6929996013641357
1705,21.203125,0.58525,2.693000316619873
1706,22.328125,0.58825,2.6930012702941895
1707,23.40625,0.59125,2.693002223968506
1708,47.34375,0.91775,2.693002939224243
1709,48.46875,0.87675,2.6930041313171387
1710,49.578125,0.86675,2.693005084991455
1711,50.625,0.86875,2.6930060386657715
1712,51.828125,0.8725,2.693006753921509
1713,52.765625,0.9005,2.693007707595825
1714,63.8125,1.72575,2.6930084228515625
1715,64.953125,1.699,2.693009376525879
1716,66.0,1.66,2.693010091781616
1717,67.078125,1.63975,2.6930112838745117
1718,68.21875,1.61225,2.693011999130249
1719,69.28125,1.595,2.6930127143859863
1720,70.3125,1.62525,2.6930136680603027
1721,71.359375,1.66375,2.693014621734619
1722,84.90625,2.9855,2.6930150985717773
1723,101.859375,4.81,2.6930158138275146
1724,102.953125,4.788,2.693016767501831
1725,142.734375,3.7095,2.6930174827575684
1726,143.828125,3.727,2.6930184364318848
1727,144.890625,3.814,2.693019151687622
1728,162.015625,5.6685,2.6930196285247803
1729,163.125,5.512,2.6930203437805176
1730,164.171875,5.414,2.693021059036255
1731,165.390625,3.624,2.6930220127105713
1732,166.46875,3.5575,2.6930224895477295
1733,167.5625,3.46525,2.693023204803467
1734,168.65625,3.4745,2.6930246353149414
1735,169.75,3.25025,2.693025588989258
1736,170.8125,3.2675,2.693026065826416
1737,171.734375,5.3695,2.6930267810821533
1738,172.8125,5.299,2.6930272579193115
1739,173.890625,5.28425,2.6930277347564697
1740,174.96875,5.271,2.6930289268493652
1741,176.03125,5.25,2.6930296421051025
1742,184.828125,2.71475,2.6930298805236816
1743,185.859375,2.93925,2.69303035736084
1744,186.96875,2.91225,2.693030834197998
1745,190.015625,4.22575,2.6930313110351562
1746,191.109375,4.19275,2.6930315494537354
1747,198.34375,1.26075,2.6930322647094727
1748,199.953125,2.2775,2.6930325031280518
1749,201.03125,2.25125,2.693033218383789
1750,202.125,2.284,2.6930336952209473
1751,203.296875,2.40725,2.6930344104766846
1752,204.375,2.43675,2.693035364151001
1753,205.453125,2.46475,2.693035840988159
1754,209.390625,1.12875,2.6930363178253174
1755,210.4375,1.1285,2.6930367946624756
1756,211.515625,1.13775,2.693037509918213
1757,212.625,1.14475,2.693037986755371
1758,214.140625,0.82325,2.6930384635925293
1759,215.28125,0.8065,2.6930394172668457
1760,216.40625,0.78625,2.693039894104004
1761,217.5625,0.77775,2.693040609359741
1762,218.625,0.778,2.6930410861968994
1763,219.71875,0.773,2.693042039871216
1764,220.625,0.8075,2.693042755126953
