timestamp_us,ax,ay,az,gx,gy,gz
1777323591.1642075,-0.11,-0.38,9.65,-0.11,-0.38,9.65
1777323591.1781998,-0.08,-0.19,9.69,-0.08,-0.19,9.69
1777323591.192211,-0.11,-0.23,9.73,-0.11,-0.23,9.73
1777323591.2052011,-0.08,-0.19,9.69,-0.08,-0.19,9.69
1777323591.2192104,-0.08,-0.38,9.77,-0.08,-0.38,9.77
1777323591.2342198,-0.11,-0.38,9.69,-0.11,-0.38,9.69
1777323591.2482078,-0.04,-0.23,9.65,-0.04,-0.23,9.65
1777323591.2612069,-0.08,-0.34,9.73,-0.08,-0.34,9.73
1777323591.2742033,-0.04,-0.19,9.65,-0.04,-0.19,9.65
1777323591.2892087,-0.11,-0.42,9.69,-0.11,-0.42,9.69
1777323591.3082144,-0.11,-0.3,9.65,-0.11,-0.3,9.65
1777323591.3212085,-0.11,-0.27,9.61,-0.11,-0.27,9.61
1777323591.336215,-0.11,-0.3,9.65,-0.11,-0.3,9.65
1777323591.350192,0.0,-0.34,9.73,0.0,-0.34,9.73
1777323591.3632095,-0.04,-0.38,9.69,-0.04,-0.38,9.69
1777323591.376213,-0.08,-0.27,9.65,-0.08,-0.27,9.65
1777323591.391211,-0.15,-0.34,9.69,-0.15,-0.34,9.69
1777323591.4052088,-0.08,-0.34,9.69,-0.08,-0.34,9.69
1777323591.4192097,-0.08,-0.3,9.69,-0.08,-0.3,9.69
1777323591.4320502,-0.11,-0.3,9.73,-0.11,-0.3,9.73
1777323591.4462125,-0.08,-0.23,9.69,-0.08,-0.23,9.69
1777323591.4602451,-0.19,-0.38,9.61,-0.19,-0.38,9.61
1777323591.4742212,-0.08,-0.3,9.65,-0.08,-0.3,9.65
1777323591.487035,-0.04,-0.3,9.69,-0.04,-0.3,9.69
1777323591.5012176,-0.04,-0.23,9.65,-0.04,-0.23,9.65
1777323591.5152159,-0.04,-0.27,9.73,-0.04,-0.27,9.73
1777323591.5292182,-0.11,-0.38,9.73,-0.11,-0.38,9.73
1777323591.5422184,-0.08,-0.27,9.69,-0.08,-0.27,9.69
1777323591.5562253,-0.04,-0.34,9.73,-0.04,-0.34,9.73
1777323591.5712202,-0.04,-0.19,9.69,-0.04,-0.19,9.69
1777323591.5852177,-0.11,-0.27,9.69,-0.11,-0.27,9.69
1777323591.5982265,-0.08,-0.23,9.69,-0.08,-0.23,9.69
1777323591.6112192,-0.11,-0.27,9.73,-0.11,-0.27,9.73
1777323591.6262193,-0.04,-0.38,9.73,-0.04,-0.38,9.73
1777323591.6402285,-0.04,-0.11,9.65,-0.04,-0.11,9.65
1777323591.6532202,-0.11,-0.34,9.69,-0.11,-0.34,9.69
1777323591.6662252,-0.08,-0.23,9.65,-0.08,-0.23,9.65
1777323591.681224,-0.08,-0.34,9.65,-0.08,-0.34,9.65
1777323591.6952257,-0.04,-0.34,9.65,-0.04,-0.34,9.65
1777323591.7092276,-0.08,-0.19,9.73,-0.08,-0.19,9.73
1777323591.722053,-0.08,-0.23,9.69,-0.08,-0.23,9.69
1777323591.7362313,-0.15,-0.34,9.69,-0.15,-0.34,9.69
1777323591.7502258,-0.11,-0.3,9.73,-0.11,-0.3,9.73
1777323591.7642365,-0.04,-0.34,9.69,-0.04,-0.34,9.69
1777323591.7770195,-0.04,-0.38,9.73,-0.04,-0.38,9.73
1777323591.7912269,-0.11,-0.27,9.69,-0.11,-0.27,9.69
1777323591.8052282,-0.15,-0.3,9.65,-0.15,-0.3,9.65
1777323591.8192275,-0.08,-0.34,9.69,-0.08,-0.34,9.69
1777323591.8322363,-0.04,-0.23,9.73,-0.04,-0.23,9.73
1777323591.8462293,-0.04,-0.34,9.69,-0.04,-0.34,9.69
1777323591.8612323,-0.08,-0.23,9.73,-0.08,-0.23,9.73
